review,sentiment
"The script for ""Scary Movie 2"" just wasn't ready to go. This is a problem with the film that is blatantly evident, to the actors and the audience alike. Director Keenan Ivory Wayans, and many of the actors are funny people; and so the movie isn't completely humorless. To their credit, the film has several funny moments. But as a whole, ""Scary Movie 2"" is not even close to being as clever and amusing as the original.<br /><br />The first ""Scary Movie"" was a laugh a minute film. It turned the smallest subtleties of the slasher film genre into comedic gold. The humor in ""Scary Movie 2"" is as heavy handed as it is un-original. They even miss obvious opportunities for parody. Two of the movies stars are former cast members of ""Beverly Hills 90210,"" and this was a show that was begging to be parodied! In the final analysis, ""Scary Movie 2"" is like a fine bottle of wine that was opened far too soon. The script needed a lot more time to age. 2 stars out of 5.",negative
"This is an EXCELLENT example of early Bette Davis talent. The production is above average for 1936 timeframe. I cannot understand why the owners of the rights to this film have not put it on DVD. Owners, PLEASE PLEASE release it. I would buy it immediately. I have not seen it in more than thirty years, on television, but remember it well.",positive
"I honestly fail to understand why people love this show so much. A friend of mine watches this and since I like sci-fi, I tried to watch along since the plot of the show sounded promising, but in truth it really is a very boring show. The only thing that will keep you awake during this show are the video game-like CGI-effects and the complete overuse of muppets. Note that I call it muppets because they actually really look like muppets, not like the aliens they should be.<br /><br />Speaking of which; the muppets and make-up effects are horribly overused in this show. You have this guy who could be best described as a alien/dwarf-hybrid, you have a pale girl who looks like a cheesy vamp-girl, you've got a floating potty-mouth frog-alien... It just feels very unnecessary and furthermore even to the point that you feel distracted from the whole storyline about a lost astronaut.<br /><br />Every episode is also too much of a stand-alone. The creators of this show directed this in such a way that every episode almost feels like a whole other show. At least up until the point that you see the main-characters/muppets again, that is. The whole plot about the main-character getting back to earth is way to much pushed to the background at points. The acting is also quite bad.<br /><br />Conclusion: if you want good sci-fi, just look somewhere else. This isn't even real sci-fi to begin with in my opinion, since the show is more aimed at fantasy-elements with all the puppetry and weird dreams going on. And if you just want to see muppets then I suggest you watch the Muppet Show and feel glad that this abomination of a show has come to a end.<br /><br />By the way; doesn't anyone have dejavu's with the concept of a living spaceship? Ohyeah thats right; Doctor Who started that concept almost about 30 years ago! This show is like a collection of 'sci-fi' leftovers. Scripts and events that were abandoned for a good reason, only to be picked up by this horrible show.",negative
"Where was this film when I was a kid? After his parents split up Tadashi moves with his mom to live his his grandfather. Tadashi's sister stays with their dad and they talk frequently on the phone. Grandfather is only ""here"" every third day. Moms never really home. The kids always are picking on the poor kid. During a village festival Tadashi is chosen the ""kirin rider"" or spiritual champion of the peace and justice. Little does he suspect that soon he will have to actually step into role of hero as the forces of darkness join up with the rage of things discarded in a plot to destroy mankind and the spiritual world.<br /><br />Okay that was the easy part. Now comes the hard part, trying to explain the film.<br /><br />This is a great kids film. No this is a great film,flawed, (very flawed?) but a great film none the less. It unfolds like all of those great books you loved as a kid and is just as dense at times as Tadashi struggles to find the strength to become a hero. Watching it I felt I was reading a great book, and thought how huge this would have been if it was a book. I loved that the film does not follow a normal path. Things often happen out of happenstance or through miscommunication, one character gets sucked into events simply because his foot falls asleep. There are twists and turns and moments that seem like non sequiters and are all the more charming for it (which is typical Miike) Certainly its a Takashi Miike film. That Japanese master of film is clearly in charge of a film that often touching, scary and funny all at the same time. No one except Miike seems to understand that you can have many emotions at the same time, or that you can suddenly have twists as things get dark one second and then funny the next. I admire the fact that Miike has made a film that is bleak and hopeful, that doesn't shy away from being scary, I mean really scary, especially for kids. This is the same dark territory that should be in the Harry Potter movies but rarely is. This a dark Grimms tale with humor. My first reaction upon seeing the opening image was that I couldn't believe anyone would begin a kids film with a picture of the end of the world, then I realized who was making the movie. Hats off to Miike for making a movie that knows kids can handle the frightening images.<br /><br />Its also operating on more than one level. The mechanical monsters that the bad guys make are forged from mankind's discarded junk. Its the rage of being thrown away that fuels the monsters.One of the Yokai (spirits) talks about the rage sneakers thrown away because they are dirty or too small feels when they are tossed. You also have one of the good guys refusing to join the bad guys because that would be the human thing to do. Its a wild concept, but like other things floating around its what lifts this movie to another level. (there are a good many riffs and references to other movies,TV shows and novels that make me wonder who this film is for since kids may not understand them, though many parents will) And of course there are the monsters. They run the gamut from cheesy to spectacular with stops everywhere in between. Frankly you have to forgive the unevenness of their creation simply because they are has to be hundreds if not thousands of monsters on screen. Its way cool and it works. One of the main characters is a Yokai which I think is best described as a hamster in a tunic and is often played by a stuffed animal, it looks dumb and yet you will be cheering the little bugger and loving every moment he rides on Tadashi's head. (Acceptance is also easier if you've ever seen the old woodcuts of the weird Japanese monsters) I mentioned flaws, and there are a few. The effects are uneven, some of the sudden turns are a bit odd (even if understandable) and a few other minor things which are fading now some two hours after watching the film.. None of them truly hurt the film over all, however most kind of keep you from being completely happy with the movie.<br /><br />I really loved this movie. I'm pretty sure that if I saw this as a kid it would have been my favorite film of all time. (where's the English dub?).See this movie. Its a great trip. (Besides its a good introduction to the films of Miike minus the blood and graphic sex)",positive
"This third Darkman was definitely better than the second one, but still far worse than the original movie. What made this one better than D2 was the fact that The Bad Guy had been changed and Durant was not brought back again. Furthermore there was actually some hint of character development when it came to the bad guy's family and Darkman himself. This made my heart soften and I gave this flick as much as 4/10, i.e. **/*****.",negative
"Some teen agers go to an old deserted farm house left to one of them by their dead grandfather, unaware that there had been several murders there decades earlier because their grandfather had made a pact with the devil for a good harvest- couldn't the guy have thought of something better to sell his soul for? The man's grandson and his friends are set up to be the next sacrifice, for reasons which are never explained. The stereotypical teenage son and his girlfriend, the black guy with a white girlfriend, and the two lesbians have to do battle with three killer scarecrows- but, don't be tricked like I was, this isn't nearly as fun as it sounds. It's mostly just a lot of chit chat about ball kicking, dope smoking, and the lead actor complaining about never knowing his parents. The camera work is atrocious and shaky, maybe done on a hand held camcorder in some scenes, which maybe a good thing since the scarecrows look like they just came from some kid's birthday party, and apparently they could only hire two people to play the three scarecrows! Some of the best movies I've seen have been these low budget, independent horror movies, but this one is just pathetic. The cast and crew seems to have just been made up of a bunch of people who knew each other, had never acted before and had no intention of acting again, and had a few thousand dollars (I can't believe this movie cost $130.000 to make) and a weekend of free time on their hands- even the lesbian skinny dipping scene is lame.<br /><br />I think it's amusing also, that as of this writing, there is a sequel to this film which no one has even bothered adding to IMDb.<br /><br />* out of ****, and I only rate it that highly only because of the skinny dipping scene, no matter how lame it may be.",negative
"A very tired looking Burt Reynolds plays a mercenary battling his former employers for some gizmo these non-heroes plan to sell to ""the Iranians."" Low-rent video nonsense by the producers of ""Silk Stalkings"" offers some decent action footage and a lot of ineptly staged ""drama""...a lack of logic and truly dreadful dialogue are the defining aspects, although the final twists and allegiance shifts could've been a nifty end to a better movie. Burt still has presence, although it also means you notice more when he mouths insultingly half-baked ""one-liners"".",negative
"Ladies and gentlemen: the show begins with this documentary film. It's structured in three chapters, each one chronologically arranged. The first presents the classical physics and links to Einstein. The second studies in depth the quantum physics and enters in String theory. The last reveals the Everything theory... The difficult concepts used here are introduced in a very simple way, with daily objects; although you must believe them without checking by yourself -if you are not a scientist- (and even if you are a scientist!!). The film is not a masterpiece by its fabulous technique or the way it's produced; what really imports is the story, and WHAT A STORY!!!",positive
The main reason to check this one out is to watch Laura Gemser in all her glory.<br /><br />That's reason enough for me.<br /><br />She heads to Africa as guests of another rich guy that seems to be all over these films. Huge mansion near the jungle. Hunters staying around for parties when they aren't out hunting zebras. And said parties becoming drunken orgies.<br /><br />All the high society types in the Emanuelle films seem to have out of control fetishes. And Emanuelle beds most of them.<br /><br />Joe D'Amato did NOT direct this one. He just ripped it off and used the same cast(s). And did anyone notice the 'subliminal' sexual images at the gas station? And why did most of the men stay dressed during the sex scenes? <br /><br />Coherence? Hardly any. BUT GODDESS GEMSER IS BEAUTIFUL.,positive
"""Don't be greedy"" sums up the depth of this movie. All the rest of the baloney is big budget window dressing. The movie rotates through hiding the ball annoyingly and revealing too much. None of the potentially interesting plot tangents are developed yet the trite ones are hashed and rehashed to excess.<br /><br />The charm of DD, as others have pointed out, was in the schizophrenia device,the humor woven into the fabric of the movie, and most importantly, the acting. There is enough wooden acting in The Box to attract a giant mound of martian termites.<br /><br />The biggest problem with suspending disbelief during this mess is the glaring question, ""why would a technologically superior power capable of taking over the government need to do any testing at all?"" Awful failure of a movie.",negative
